                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.3795,                 1.2663,                 1.4325,                0.99159,                      1,                  0.995,                0.70195,                 1.1667,                0.47483,                 1.3397,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 1.2176,                0.84045,                 1.1837,                0.99159,                      1,                  0.995,                0.70195,                 1.1667,                0.47483,                 1.3397,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.5133,                 1.3591,                 1.7537,                0.99159,                      1,                  0.995,                0.70195,                 1.1667,                0.47483,                 1.3397,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 1.3505,                0.99652,                 1.3631,                0.99099,                      1,                  0.995,                0.70189,                 1.1513,                0.47998,                 1.3221,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 1.3601,                 1.1767,                 1.3661,                0.99099,                      1,                  0.995,                0.70189,                 1.1513,                0.47998,                 1.3221,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                  1.492,                 1.0533,                   1.36,                0.99099,                      1,                  0.995,                0.70189,                 1.1513,                0.47998,                 1.3221,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                  1.356,                0.95195,                 1.2737,                 0.9901,                      1,                  0.995,                0.70369,                  1.148,                 0.4771,                 1.3173,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 1.1806,                0.95465,                 1.1947,                 0.9901,                      1,                  0.995,                0.70369,                  1.148,                 0.4771,                 1.3173,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 1.3036,                 0.9189,                 1.2944,                 0.9901,                      1,                  0.995,                0.70369,                  1.148,                 0.4771,                 1.3173,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 1.0935,                0.87679,                 1.2667,                0.98981,                      1,                  0.995,                 0.7232,                 1.1511,                0.47613,                 1.3204,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 1.1632,                0.77226,                 1.2404,                0.98981,                      1,                  0.995,                 0.7232,                 1.1511,                0.47613,                 1.3204,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 1.5461,                 1.0404,                 1.3429,                0.98981,                      1,                  0.995,                 0.7232,                 1.1511,                0.47613,                 1.3204,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 1.1557,                0.82173,                  1.208,                0.99026,                      1,                  0.995,                0.72303,                 1.1488,                0.49409,                 1.3233,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 1.1479,                0.91282,                 1.2356,                0.99026,                      1,                  0.995,                0.72303,                 1.1488,                0.49409,                 1.3233,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 1.3343,                 1.0339,                  1.329,                0.99026,                      1,                  0.995,                0.72303,                 1.1488,                0.49409,                 1.3233,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 1.2996,                 0.8652,                 1.2755,                0.99134,                      1,                  0.995,                0.72542,                 1.1504,                0.48372,                 1.3336,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 1.4818,                0.90943,                 1.3393,                0.99134,                      1,                  0.995,                0.72542,                 1.1504,                0.48372,                 1.3336,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                  1.153,                0.84767,                 1.2174,                0.99134,                      1,                  0.995,                0.72542,                 1.1504,                0.48372,                 1.3336,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 1.2641,                0.76866,                 1.1987,                0.99228,                      1,                  0.995,                0.72521,                  1.152,                0.49175,                 1.3377,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 1.2624,                0.85119,                 1.2229,                0.99228,                      1,                  0.995,                0.72521,                  1.152,                0.49175,                 1.3377,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.2662,                0.97771,                 1.2285,                0.99228,                      1,                  0.995,                0.72521,                  1.152,                0.49175,                 1.3377,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 1.3358,                0.91463,                 1.3036,                0.99228,                      1,                  0.995,                0.72521,                  1.152,                0.49175,                 1.3377,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 1.1937,                0.81149,                 1.2604,                0.99213,                      1,                  0.995,                0.73581,                 1.1469,                 0.4927,                 1.3346,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                  1.419,                0.94132,                 1.3963,                0.99213,                      1,                  0.995,                0.73581,                 1.1469,                 0.4927,                 1.3346,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 1.0976,                0.74821,                 1.1799,                0.99213,                      1,                  0.995,                0.73581,                 1.1469,                 0.4927,                 1.3346,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 1.2908,                0.97851,                  1.293,                0.99213,                      1,                  0.995,                0.73581,                 1.1469,                 0.4927,                 1.3346,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 1.7469,                 1.4318,                  1.508,                0.99163,                      1,                  0.995,                0.71836,                   1.15,                0.49736,                 1.3271,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 1.1628,                0.96187,                  1.121,                0.99163,                      1,                  0.995,                0.71836,                   1.15,                0.49736,                 1.3271,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 1.3317,                 1.0255,                 1.2991,                0.99163,                      1,                  0.995,                0.71836,                   1.15,                0.49736,                 1.3271,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                  1.279,                 1.0444,                 1.2686,                0.99163,                      1,                  0.995,                0.71836,                   1.15,                0.49736,                 1.3271,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 1.1421,                0.88225,                 1.1815,                0.98987,                      1,                  0.995,                0.72213,                 1.1443,                0.50293,                 1.3143,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 1.5658,                  1.394,                 1.4129,                0.98987,                      1,                  0.995,                0.72213,                 1.1443,                0.50293,                 1.3143,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 1.3046,                0.98181,                 1.2224,                0.98987,                      1,                  0.995,                0.72213,                 1.1443,                0.50293,                 1.3143,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 1.2573,                0.95256,                 1.1867,                0.98987,                      1,                  0.995,                0.72213,                 1.1443,                0.50293,                 1.3143,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 1.2813,                 1.0071,                 1.2669,                0.98885,                      1,                  0.995,                0.71765,                 1.1168,                0.51976,                 1.2901,             2.3444e-06,             2.3444e-06,             2.3444e-06
